"cueanexo","geom"
220000100,"0101000020E6100000E0C2AF7D3E7E4DC035C9AB3478793BC0"
220000101,"0101000020E610000021A575FFEF7E4DC061A4B65FF0783BC0"
220000200,"0101000020E6100000BAE0937868804DC0EEB611F34C7C3BC0"
220000300,"0101000020E610000079898CB3007F4DC00200F17F4B773BC0"
220000400,"0101000020E61000001D989EB4A67C4DC024D84FBD13773BC0"
220000500,"0101000020E6100000952CA648B07D4DC0298D07418C753BC0"
220000501,"0101000020E6100000D79F8A55A27E4DC0A299113996783BC0"
220000502,"0101000020E61000000A7C5C890B7D4DC06109923A86753BC0"
220000504,"0101000020E61000007E0400AEAA804DC040B03955767A3BC0"
220000505,"0101000020E6100000C09456BF137E4DC0878EA0AA4B773BC0"
220000506,"0101000020E6100000204DC39DD27C4DC02602A7AD88753BC0"
220000507,"0101000020E6100000984369668E7D4DC0ADD90D0D007A3BC0"
220000508,"0101000020E6100000E31B8976F17D4DC0FF98B24F89773BC0"
220000509,"0101000020E61000001B13DD17537C4DC02F29032556783BC0"
220000513,"0101000020E6100000A2D84BA25E7E4DC016AD61DBD8753BC0"
220000514,"0101000020E6100000C3C88655947E4DC0E448334046723BC0"
220000600,"0101000020E6100000C7AE6855267B4DC02D545DE0F37E3BC0"
220000700,"0101000020E61000000AF5E381E0784DC0807D29A7047B3BC0"
220000800,"0101000020E6100000B560018EA5764DC074BA34EAB17B3BC0"
220000900,"0101000020E6100000806ED9FD82784DC013F5A633FC813BC0"
220001000,"0101000020E610000012DFFA6541774DC0F2150A51567C3BC0"
220001001,"0101000020E610000085886B27F8764DC002D6504E76793BC0"
220001002,"0101000020E610000033B2328561764DC02A511701177B3BC0"
220001005,"0101000020E6100000500DD80FF8764DC082DAAA41127D3BC0"
220001006,"0101000020E6100000DC0AD0855C774DC0F5177FD1AC783BC0"
220001009,"0101000020E6100000B07E4BB6A6784DC040E5859A887D3BC0"
220001100,"0101000020E6100000361EEC91DF794DC0C9D6371FC87D3BC0"
220001101,"0101000020E610000047185572EF774DC0E1E8A5253F7F3BC0"
220001102,"0101000020E610000076EFDEAEE4784DC08F4DA5D3F17C3BC0"
220001103,"0101000020E6100000D436A6743C7B4DC0FF515B7965823BC0"
220001104,"0101000020E610000017754D90D9814DC0681BAD3AADB33BC0"
220001105,"0101000020E61000007C60858F13A74DC06A6455F5AB8F3BC0"
220001200,"0101000020E610000069137A12CE784DC067C2F3B5EB7A3BC0"
220001300,"0101000020E6100000B53DC060FA764DC01D43BD5D057C3BC0"
220001400,"0101000020E6100000E8F6FA2C3A774DC0C42E9A7D487C3BC0"
220001600,"0101000020E6100000D1F7CB8A837E4DC0B30A8DA46B723BC0"
220001700,"0101000020E610000035D337FD7D7E4DC053D45FCD64723BC0"
220001800,"0101000020E6100000E450656F4D7E4DC09B4E2394B0773BC0"
220001900,"0101000020E61000003B3E9649CD7D4DC0DD30C5D8B5783BC0"
220001901,"0101000020E6100000F5410E1E547D4DC0FEEDEA0F43783BC0"
220002000,"0101000020E61000003DC50549127D4DC02D44849CFF743BC0"
220002100,"0101000020E61000008A7D6A5AEE7E4DC0720B9882917B3BC0"
220002102,"0101000020E61000009D44ABFA987E4DC06F7F4689787B3BC0"
220002103,"0101000020E6100000B1B2FFD2157E4DC0E2CCE1A3CE7B3BC0"
220002104,"0101000020E6100000603470B2677D4DC010D8ADACB27A3BC0"
220002105,"0101000020E6100000F1EDE0AE787D4DC039FAE4BBB37B3BC0"
220002106,"0101000020E6100000CE021219D67D4DC06068DC81A37C3BC0"
220002107,"0101000020E61000007E55AF39147E4DC0899E8C278F7A3BC0"
220002200,"0101000020E6100000A3512A302C584DC0DBBF477DFC0A3BC0"
220002201,"0101000020E61000002BB22EBE80534DC028DE8F31EA013BC0"
220002300,"0101000020E61000005A95841BF67D4DC0B38FCE4881773BC0"
220002400,"0101000020E6100000122E736ADD504DC05E0209A5A0A93AC0"
220002500,"0101000020E61000009B886F9E63554DC08A7EB94880063BC0"
220002600,"0101000020E610000083F0565F69764DC0075D4E29BDF43AC0"
220002601,"0101000020E6100000C7BFF5B2B1674DC09E96D9BCE2073BC0"
220002700,"0101000020E61000005B92D5BFC54E4DC01A173215974A3BC0"
220002900,"0101000020E61000003E15949F6A4E4DC0521016FE704A3BC0"
220002901,"0101000020E610000048DFCC81525B4DC05C87A2793B4E3BC0"
220003100,"0101000020E6100000047AC6A89A6F4DC0102B74252FFD3AC0"
220003200,"0101000020E61000005AE5121CFA664DC074266537E2DD3AC0"
220003300,"0101000020E61000006501B82B29544DC00A9FE60050EE3AC0"
220003500,"0101000020E61000006814F6A8994C4DC03A2B68B52FF73AC0"
220003800,"0101000020E6100000BECEF1A46D544DC0F3A9D09C4AEF3AC0"
220003801,"0101000020E61000005280B0F59A4C4DC0A958446E24F73AC0"
220003900,"0101000020E61000000D2EDB8168544DC0FA60AF8E46EE3AC0"
220003901,"0101000020E6100000F3E95CBB8B4C4DC0692D51611FF73AC0"
220003902,"0101000020E61000003967E02DED664DC0430C563EA7DD3AC0"
220003903,"0101000020E61000007006ED9786544DC0205B9BDD69EE3AC0"
220004100,"0101000020E6100000E46CF6ADE35A4DC090696611C30A3BC0"
220004200,"0101000020E6100000C7C96F0CDA5A4DC0F76A41F0B60A3BC0"
220004300,"0101000020E610000017202981495A4DC08FDEDBB99B0A3BC0"
220004301,"0101000020E6100000D3472D24775A4DC03300C74612063BC0"
220004500,"0101000020E6100000D1A6BA4F65594DC092BEE44A040B3BC0"
220004501,"0101000020E6100000613641905A5A4DC09AB78DD2DB0B3BC0"
220004502,"0101000020E6100000916C27CA2D5A4DC01F3EA7E0FE093BC0"
220004503,"0101000020E6100000D72752ADE55A4DC095939B6EAE0A3BC0"
220004504,"0101000020E6100000BC4BFFAD12594DC005E862C699093BC0"
220004505,"0101000020E6100000CCF0FFDDAB6C4DC0A8E0C50B270D3BC0"
220004507,"0101000020E61000001E819CA968764DC0BE664FC0B8F43AC0"
220004600,"0101000020E6100000577E74AE79844DC0B023242E806B3BC0"
220004700,"0101000020E6100000475D7E7C2A864DC033E2EC0F95683BC0"
220004800,"0101000020E6100000E9944F2E12834DC07FA16659C66C3BC0"
220004900,"0101000020E61000007155EAAE777D4DC0B3E36E3FF95A3BC0"
220005000,"0101000020E61000001A5E36DBE5814DC02686477E8D743BC0"
220005100,"0101000020E6100000F33EA9A9F9814DC0A31FFAB653733BC0"
220005200,"0101000020E61000007CE661EFEA804DC0790718C8F2733BC0"
220005300,"0101000020E61000005FA77356195F4EC00A5190905FCF3AC0"
220005301,"0101000020E6100000A1956B0AA8564EC0193BC59A47DB3AC0"
220005400,"0101000020E61000009BCC1CB293564EC079C9B9B17DE73AC0"
220005500,"0101000020E61000005CD3F6980D594EC0F0274A3B41CD3AC0"
220005600,"0101000020E610000022A0F9763E744EC08EC7069AE3E23AC0"
220005700,"0101000020E61000004C978413BB7E4DC0DDDE66A9FA783BC0"
220005800,"0101000020E6100000D3234BEF407F4DC05A171E2D8E793BC0"
220005801,"0101000020E61000004F7BB476AE7E4DC0C779FFB6FB783BC0"
220005803,"0101000020E610000001ED57C6F07E4DC0A7A1AC1FB07A3BC0"
220005804,"0101000020E61000007834915B58804DC0B8A364432F7C3BC0"
220005807,"0101000020E610000014A365B9EC7E4DC07DFB484AF5783BC0"
220005808,"0101000020E6100000764FE82C027F4DC0C146ECF53B783BC0"
220005809,"0101000020E61000008EAEDF6CDC7F4DC0F46A278BEE7B3BC0"
220005810,"0101000020E6100000CA385DD73E7D4DC0AA03E482C67B3BC0"
220005900,"0101000020E6100000947702245E804DC09A853213707A3BC0"
220006000,"0101000020E6100000E6A6D4B6617D4DC04B3B7A74BB713BC0"
220006100,"0101000020E6100000936C5BCE4D7D4DC0A18A43C571713BC0"
220006200,"0101000020E6100000D7CD3D2F6C7E4DC04C4D519A0E713BC0"
220006300,"0101000020E610000094B91AAC457D4DC0BC2EEAA186713BC0"
220006301,"0101000020E610000081AA20EB207E4DC03FF9BB1C99663BC0"
220006302,"0101000020E610000047BDAFE3347C4DC017D3287BFD723BC0"
220006303,"0101000020E6100000FE32DC6FA07E4DC07880ECD822703BC0"
220006304,"0101000020E6100000E1152163DB7E4DC070DDFB75CA663BC0"
220006305,"0101000020E6100000E4962CDA6D7D4DC09E73BE64F66E3BC0"
220006400,"0101000020E6100000FA12743700804DC0F6229ACA3E703BC0"
220006500,"0101000020E610000075D8A1BA0B534EC0FC301B362BC53AC0"
